Hotel Name,Location,Rating,Review Score,Number of   ,Room    Score,Room Type,Bed Type,Room Price (in BDT or any other currency)
Muan Hotel,"Si Phum, Chiang Mai",8.6,Excellent,20,8.9,Family Room with Private Bathroom,"2 beds (1 full, 1 bunk bed)","   109,797"
Sabai Sabana - formerly Sabai Wing,Pattaya,7.6,Good,70,8.1,Standard Twin Room,2 twin beds,"   78,459"
Marina House MUAYTHAI Ta-iad Phuket,Chalong,8.4,Very Good,44,8.5,Standard Double Room,1 queen bed,"   69,733"
Koh Tao Cabana,"Sairee Beach, Ko Tao",8.8,Excellent,244,9.1,Cottage Treetop Villa,1 king bed,"   297,597"
Arize Hotel Sukhumvit,"Khlong Toei, Bangkok",7.4,Good,838,,Deluxe Double Room,1 king bed,"   148,604"
AARIHA SUITES,Ao Nang Beach,6.9,Review score,66,,Deluxe Double Room with Balcony,1 king bed,"   40,230"
AARIHA SUITES,Ao Nang Beach,6.9,Review score,66,,Deluxe Double Room with Balcony,1 king bed,"   40,230"
Grace Hotel,"Wattana, Bangkok",6.5,Review score,954,,Superior Double or Twin Room,Multiple bed types,"   106,876"
Baan Hin Sai Resort & Spa - SHA Extra Plus,Chaweng Noi Beach,8.3,Very Good,126,8.2,Standard Double or Twin Room,   1 double or 2 twins,"   116,388"
Papillon Resort,"Chaweng Beachfront, Chaweng",8.5,Very Good,222,8.6,Superior Bungalow,1 queen bed,"   92,329"
Lanna Palace 2004,"Chang Khlan, Chiang Mai",6.1,Review score,25,,Standard Twin Room,2 twin beds,"   55,129"
Santhiya Koh Yao Yai Resort & Spa,Ko Yao Yai,8.6,Excellent,"1,083",8.9,Plus Round Trip Join Speedboat As Scheduled Transfer - Supreme Deluxe Sea View,1 queen bed,"   292,272"
SR Sea View Apartments,Patong Beach,6.8,Review score,106,,Deluxe Double Room with Sea View,1 queen bed,"   46,189"
Grand Orlov,Patong Beach,8,Very Good,17,,Standard King Room,1 queen bed,"   75,810"
Samed Cliff Resort,"Ao Noi Nha, Ko Samed",6.8,Review score,44,,Standard Double Room,1 king bed,"   186,322"
Lanta Amara Resort,"Long Beach, Ko Lanta",9.4,Wonderful,63,9.7,Large Double Room,1 king bed,"   95,262"
Nasa Bangkok - SHA PLUS Certified,Bangkok,7.9,Good,"2,688",8.1,Standard Double or Twin Room,   1 double or 2 twins,"   52,079"
"Nature Beach Resort, Koh Lanta","Klong Nin Beach, Ko Lanta",8.4,Very Good,344,8.3,Double Room with Fan,1 full bed,"   26,201"
Blue View House Phi Phi,Phi Phi Islands,8.1,Very Good,494,8,Double Room with Balcony,1 queen bed,"   89,279"
Villa Navin,Jomtien Beach,6.7,Review score,368,,Deluxe Studio,1 queen bed,"   66,959"
The Malika Hotel - SHA Extra Plus,Phuket,8.7,Excellent,489,9.2,Room with City View,1 queen bed,"   97,042"
Forra Dive Resort Pattaya Beach,"Ko Lipe Pattaya Beach, Ko Lipe",6.9,Review score,74,,Standard Bungalow with Garden View,1 queen bed,"   60,998"
Chanchalay Hip Hostel SHA Extra Plus,Krabi,9.1,Wonderful,473,9.2,Double or Twin room with shared bathroom (Air conditioning),   1 double or 2 twins,"   32,902"
